date_col,fee
2024-02-01,0.0001382871200565
2024-02-02,0.0001530041038368
2024-02-03,0.0003436132741266
2024-02-04,0.0002927622458813
2024-02-05,0.0002302963742974
2024-02-06,0.0001909503061206
2024-02-07,0.0001709166910543
2024-02-08,0.0001858488276084
2024-02-09,0.0001637819919541
2024-02-10,0.0001031671668269
2024-02-11,8.690140568834335e-05
2024-02-12,0.0001638728622554
2024-02-13,0.0001514474525988
2024-02-14,0.0001825915493888
2024-02-15,0.0001270969100842
2024-02-16,0.0001049265692399
2024-02-17,8.828290580477509e-05
2024-02-18,7.196029119117578e-05
2024-02-19,7.962485700940938e-05
2024-02-20,8.008880731611443e-05
2024-02-21,8.522723118592076e-05
2024-02-22,7.736224032430448e-05
2024-02-23,7.533062770647562e-05
2024-02-24,7.626483401338071e-05
2024-02-25,5.8064909873663085e-05
2024-02-26,9.021434317656288e-05
2024-02-27,0.0001242739934158
2024-02-28,0.0001448724195746
2024-02-29,0.0001848916114127
