date_col,fee
2024-01-01,0.0003343126536901
2024-01-02,0.0003879428471437
2024-01-03,0.0002909061148605
2024-01-04,0.00026443237574
2024-01-05,0.0002777056900713
2024-01-06,0.00022843237167
2024-01-07,0.0002188005000745
2024-01-08,0.000301500637201
2024-01-09,0.0002395131841875
2024-01-10,0.0002190289684293
2024-01-11,0.0002255371169626
2024-01-12,0.0002863910308296
2024-01-13,0.0001942605059288
2024-01-14,0.0003701843912531
2024-01-15,0.0002873809867343
2024-01-16,0.00026436458749
2024-01-17,0.000232743710824
2024-01-18,0.0002505977519178
2024-01-19,0.000182677721258
2024-01-20,0.0001281325480401
2024-01-21,0.0001192585286953
2024-01-22,0.0001660823837681
2024-01-23,0.0002402273857005
2024-01-24,0.0001625349751274
2024-01-25,0.0001885228676202
2024-01-26,0.0001119834386011
2024-01-27,9.740494444686688e-05
2024-01-28,8.741983694226115e-05
2024-01-29,9.689990099147883e-05
2024-01-30,9.86188429043248e-05
2024-01-31,0.0001121418282821
